judge_model_id,judge_display_name,judge_provider,doctor_model,mean_canonical_grade,rank
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,GPT-5.4,3.8916666666666666,1.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,GPT-5.6 Sol,3.875,2.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,GLM-5,3.725,3.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,DeepSeek-V4-Pro,3.5083333333333333,4.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,MiniMax M3,3.4166666666666665,5.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,Qwen3.8-Max,3.35,6.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,Kimi K2,3.2916666666666665,7.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,DeepSeek-V3.2,3.25,8.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,Doubao-Seed-2.0-lite,2.8,9.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,Qwen3-30B-A3B-Instruct-2507,2.7083333333333335,10.0
GLM-5,GLM-5,Z.ai,Qwen3.8-Max,4.5,1.0
GLM-5,GLM-5,Z.ai,DeepSeek-V4-Pro,4.466666666666667,2.0
GLM-5,GLM-5,Z.ai,GPT-5.4,4.458333333333333,3.0
GLM-5,GLM-5,Z.ai,GPT-5.6 Sol,4.433333333333334,4.0
GLM-5,GLM-5,Z.ai,GLM-5,4.416666666666667,5.0
GLM-5,GLM-5,Z.ai,Doubao-Seed-2.0-lite,4.225,6.0
GLM-5,GLM-5,Z.ai,DeepSeek-V3.2,4.208333333333333,7.0
GLM-5,GLM-5,Z.ai,MiniMax M3,4.191666666666666,8.0
GLM-5,GLM-5,Z.ai,Kimi K2,4.116666666666666,9.0
GLM-5,GLM-5,Z.ai,Qwen3-30B-A3B-Instruct-2507,3.975,10.0
GPT-5.5,GPT-5.5,OpenAI,GPT-5.6 Sol,3.85,1.0
GPT-5.5,GPT-5.5,OpenAI,GPT-5.4,3.341666666666667,2.0
GPT-5.5,GPT-5.5,OpenAI,Qwen3.8-Max,2.9833333333333334,3.0
GPT-5.5,GPT-5.5,OpenAI,DeepSeek-V4-Pro,2.8833333333333333,4.0
GPT-5.5,GPT-5.5,OpenAI,DeepSeek-V3.2,2.8666666666666667,5.0
GPT-5.5,GPT-5.5,OpenAI,MiniMax M3,2.7333333333333334,6.0
GPT-5.5,GPT-5.5,OpenAI,GLM-5,2.725,7.0
GPT-5.5,GPT-5.5,OpenAI,Qwen3-30B-A3B-Instruct-2507,2.2916666666666665,8.0
GPT-5.5,GPT-5.5,OpenAI,Doubao-Seed-2.0-lite,2.2416666666666667,9.0
GPT-5.5,GPT-5.5,OpenAI,Kimi K2,2.183333333333333,10.0
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,GPT-5.6 Sol,3.066666666666667,1.0
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,GPT-5.4,2.1416666666666666,2.0
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,GLM-5,1.4916666666666667,3.5
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,Qwen3.8-Max,1.4916666666666667,3.5
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,DeepSeek-V3.2,1.475,5.0
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,DeepSeek-V4-Pro,1.45,6.0
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,MiniMax M3,1.375,7.0
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,Qwen3-30B-A3B-Instruct-2507,1.325,8.0
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,Doubao-Seed-2.0-lite,1.3083333333333333,9.0
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,Kimi K2,1.275,10.0
