metric	comparison	case_id	spearman_rho	top1_overlap	tie_aware_top3_overlap_fraction
FCC	GPT-5.5	case_CL120_EHR_001	0.5653521556224601	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_002	0.642228862990377	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_003	0.8181818181818182	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_004	0.5757575757575757	0.0	0.3333333333333333
FCC	GPT-5.5	case_CL120_EHR_005	0.6810328622452321	1.0	1.0
FCC	GPT-5.5	case_CL120_EHR_006	0.48007434889960576	0.0	0.3333333333333333
FCC	GPT-5.5	case_CL120_EHR_007	0.5802911380316339	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_008	0.879268525678164	1.0	0.5
FCC	GPT-5.5	case_CL120_EHR_009	0.5332324776736374	1.0	0.25
FCC	GPT-5.5	case_CL120_EHR_010	0.779199761307608	0.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_011	0.040967324519935136	0.0	0.3333333333333333
FCC	GPT-5.5	case_CL120_EHR_012	-0.017391330648535045	1.0	0.25
FCC	GPT-5.5	case_CL120_EHR_013	0.7939393939393938	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_014	0.5061069696548565	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_015	0.7323943713270297	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_016	0.7225609756097562	1.0	0.3333333333333333
FCC	GPT-5.5	case_CL120_EHR_017	0.4738057301454882	1.0	0.6
FCC	GPT-5.5	case_CL120_EHR_018	0.6322217654272672	1.0	1.0
FCC	GPT-5.5	case_CL120_EHR_019	0.7538028741632801	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_020	0.5030303030303029	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_021	0.7161721936907482	1.0	1.0
FCC	GPT-5.5	case_CL120_EHR_022	0.8036961064336055	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_023	0.7503664793768668	1.0	0.5
FCC	GPT-5.5	case_CL120_EHR_024	0.8936211492096949	1.0	1.0
FCC	GPT-5.5	case_CL120_EHR_025	0.43519413988924455	1.0	0.375
FCC	GPT-5.5	case_CL120_EHR_026	0.7234424749631828	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_027	0.6747751534848716	0.0	0.5
FCC	GPT-5.5	case_CL120_EHR_028	0.8328305948416885	0.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_029	0.8185584150125625	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_030	0.5272727272727272	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_031	0.480245379507251	1.0	0.6666666666666666
FCC	GPT-5.5	case_CL120_EHR_032	0.7212121212121211	1.0	0.6666666666666666
