public_trajectory_id,packet_id,case_id,doctor_model,trajectory_status,turns_completed,retained_event_count,doctor_message_count,doctor_turn_count,workspace_turn_count,workspace_entry_count,workspace_result_count,doctor_operation_routing_count,has_workspace,turns_per_workspace_turn,first_workspace_turn,last_workspace_turn,family_message_count,patient_message_count,doctor_system_notification_count,runtime_error_category,runtime_error_type,closure_status,closure_kind,case_disease_domain,case_target_problem,case_starting_phase,case_friction_intensity,case_primary_friction,case_secondary_frictions,case_tool_dependency,case_expected_turn_budget_category,case_high_order_capability_domains,aggregate_score_mean,aggregate_score_median,judge_score_range,judge_score_std,score_minus_case_mean,failure_flags,primary_failure_mode,low_score,very_low_score,below_strong,high_turn,very_high_turn,no_workspace,sparse_workspace,heavy_workspace,high_judge_disagreement,workspace_underuse_candidate,workspace_overuse_candidate,long_or_tool_intensive_low_score,closed_but_low_score,model_specific_weakness,serious_error_any_judge,minor_or_moderate_error_any_judge,important_non_chain_defect_any_judge
case_CL120_EHR_001__DeepSeek-V3.2,case_CL120_EHR_001__anon_846298bc40d89b30,case_CL120_EHR_001,DeepSeek-V3.2,closed_success,7,73,7,7,6,20,18,18,True,1.1666666666666667,1,7,8,0,2,,,closed,terminal_safe_episode_closed,cardiovascular,chest_pain_acs_dissection,longitudinal_followup,light,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,2.25,2.0,1,0.4330127018922193,-0.8500000000000001,low_score | very_low_score | below_strong | heavy_workspace | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,very_low_score,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,True,True
case_CL120_EHR_002__DeepSeek-V3.2,case_CL120_EHR_002__anon_241b2f8fd08b5b1d,case_CL120_EHR_002,DeepSeek-V3.2,closed_success,16,79,16,16,7,15,14,14,True,2.2857142857142856,1,16,17,0,3,,,closed,terminal_safe_episode_closed,cardiovascular,heart_failure_decompensation,longitudinal_followup,light,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,2.75,2.5,2,0.82915619758885,-0.3999999999999999,low_score | very_low_score | below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,very_low_score,True,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True,True
case_CL120_EHR_003__DeepSeek-V3.2,case_CL120_EHR_003__anon_cda1536af26d8281,case_CL120_EHR_003,DeepSeek-V3.2,closed_success,14,51,14,14,2,7,6,6,True,7.0,1,2,15,0,3,,,closed,terminal_safe_episode_closed,cardiovascular,atrial_fibrillation_anticoagulation,discharge_transition,light,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,3.5,3.5,3,1.5,0.5,below_strong | high_judge_disagreement | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,high_judge_disagreement,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True
case_CL120_EHR_004__DeepSeek-V3.2,case_CL120_EHR_004__anon_05afe70d4ad65f61,case_CL120_EHR_004,DeepSeek-V3.2,closed_success,3,26,3,3,2,6,5,5,True,1.5,1,2,4,0,3,,,closed,terminal_safe_episode_closed,dermatology_ent_ophthalmology,cataract_postoperative_medication_and_followup,discharge_transition,light,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,2.25,2.0,3,1.0897247358851685,-0.7999999999999998,low_score | very_low_score | below_strong | high_judge_disagreement | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge,very_low_score,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False
case_CL120_EHR_005__DeepSeek-V3.2,case_CL120_EHR_005__anon_95902e39c5f185e5,case_CL120_EHR_005,DeepSeek-V3.2,closed_success,2,21,2,2,1,5,4,4,True,2.0,1,1,3,0,3,,,closed,terminal_safe_handoff_closed,cardiovascular,syncope,pre_handoff,light,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,short,HO1 | HO2 | HO3 | HO4,2.25,1.5,4,1.6393596310755,-2.15,low_score | very_low_score | below_strong | sparse_workspace | high_judge_disagreement | workspace_underuse_candidate | closed_but_low_score | model_specific_weakness | serious_error_any_judge | minor_or_moderate_error_any_judge,very_low_score,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,False
case_CL120_EHR_006__DeepSeek-V3.2,case_CL120_EHR_006__anon_aec6f3028b55916b,case_CL120_EHR_006,DeepSeek-V3.2,closed_success,3,25,3,3,2,6,5,5,True,1.5,1,3,4,0,2,,,closed,terminal_safe_handoff_closed,cardiovascular,chest_pain_acs_dissection,pre_handoff,light,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,short,HO1 | HO2 | HO3 | HO4,3,3.0,4,2.0,-0.8999999999999999,low_score | below_strong | high_judge_disagreement | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge,closed_but_low_score,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False
case_CL120_EHR_007__DeepSeek-V3.2,case_CL120_EHR_007__anon_77b4567bdd5ccbd7,case_CL120_EHR_007,DeepSeek-V3.2,closed_success,7,54,7,7,6,14,12,12,True,1.1666666666666667,1,7,8,0,1,,,closed,terminal_safe_episode_closed,cardiovascular,heart_failure_decompensation,post_handoff,moderate,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,3,3.0,4,2.0,0.3999999999999999,low_score | below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge,long_or_tool_intensive_low_score,True,False,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False
case_CL120_EHR_008__DeepSeek-V3.2,case_CL120_EHR_008__anon_a755899e27dd1786,case_CL120_EHR_008,DeepSeek-V3.2,closed_success,10,63,10,10,6,15,13,13,True,1.6666666666666667,1,8,11,0,1,,,closed,terminal_safe_episode_closed,cardiovascular,atrial_fibrillation_anticoagulation,post_handoff,moderate,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,3,3.0,4,2.0,-0.6000000000000001,low_score | below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | closed_but_low_score | serious_error_any_judge | important_non_chain_defect_any_judge,long_or_tool_intensive_low_score,True,False,True,False,False,False,False,True,True,False,True,True,True,False,True,False,True
case_CL120_EHR_009__DeepSeek-V3.2,case_CL120_EHR_009__anon_402a9ea236ce212c,case_CL120_EHR_009,DeepSeek-V3.2,closed_success,27,135,27,27,11,25,24,23,True,2.4545454545454546,1,27,28,0,8,,,closed,terminal_safe_episode_closed,cardiovascular,hypertension_urgency,result_return,moderate,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,3.25,3.5,4,1.7853571071357126,0.6000000000000001,below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge | important_non_chain_defect_any_judge,long_or_tool_intensive_low_score,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,True
case_CL120_EHR_010__DeepSeek-V3.2,case_CL120_EHR_010__anon_47f022ce59507041,case_CL120_EHR_010,DeepSeek-V3.2,closed_success,14,75,14,14,6,16,13,14,True,2.3333333333333335,1,14,15,0,3,,,closed,terminal_safe_episode_closed,cardiovascular,syncope,result_return,moderate,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,5.0,4,1.7320508075688772,1.0499999999999998,heavy_workspace | high_judge_disagreement | serious_error_any_judge | minor_or_moderate_error_any_judge,high_judge_disagreement,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False
case_CL120_EHR_011__DeepSeek-V3.2,case_CL120_EHR_011__anon_008c0c01fa9fd92b,case_CL120_EHR_011,DeepSeek-V3.2,closed_success,12,44,12,12,2,6,5,5,True,6.0,1,9,13,0,3,,,closed,terminal_safe_episode_closed,cardiovascular,chest_pain_acs_dissection,home_execution_failure,moderate,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,3.5,3.5,3,1.5,-0.20000000000000018,below_strong | high_judge_disagreement | minor_or_moderate_error_any_judge,high_judge_disagreement,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
case_CL120_EHR_012__DeepSeek-V3.2,case_CL120_EHR_012__anon_ee92460fec2ed680,case_CL120_EHR_012,DeepSeek-V3.2,closed_success,21,85,21,21,6,15,13,13,True,3.5,1,17,22,0,1,,,closed,terminal_safe_episode_closed,cardiovascular,heart_failure_decompensation,longitudinal_followup,moderate,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,3.25,3.5,4,1.7853571071357126,0.2999999999999998,below_strong | heavy_workspace | high_judge_disagreement | workspace_overuse_candidate | long_or_tool_intensive_low_score | serious_error_any_judge | minor_or_moderate_error_any_judge,long_or_tool_intensive_low_score,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,False
