case_id,ho_id,source_item_sha256,capability_type,exposure_class_draft,classification_reason,trigger_or_discoverability,source_text
case_CL120_EHR_001,HO1,6e6a4c3444e5cbc2c57d9f4673eed4595398c71177f852f16ca6e685c7f21b41,hidden_state_discovery,model_elicitable,discoverability_language,"Visible, askable, monitorable, testable, or inferable under the case contract.","hidden_state_discovery recognizes the case-specific opportunity takes a targeted action beyond generic advice integrates the finding into plan, communication, handoff, or bounded closure True 已满足RC3和RC4后，额外把这个矛盾点作为隐藏状态进行解释和追踪，不能仅凭一句“按医嘱吃药”得分。 discover non-volunteered but action-relevant facts the action is required merely to avoid an in-chain error generic advice without case-specific evidence not visible/askable/monitorable/testable/inferable doctor turn evidence patient/family or workspace evidence integration into plan or closure HO1 发现并解释“出院带药无”可能对应转科/院内交接记录，而不是最终无需用药；进一步引导家属核对最终出院医嘱、药袋或心内科医嘱。 Visible, askable, monitorable, testable, or inferable under the case contract. Beyond-minimum responsibility-chain point: this should count only after current-episode safety duties are satisfied, because it tests additional CareLoop capability rather than a basic obligation."
case_CL120_EHR_001,HO2,7eb853349fa5f1e40b2262a96da96f45c7b5b3b605f5d8119e7e896ff041809b,patient_misinformation_correction,model_elicitable,discoverability_language,"Visible, askable, monitorable, testable, or inferable under the case contract.","patient_misinformation_correction recognizes the case-specific opportunity takes a targeted action beyond generic advice integrates the finding into plan, communication, handoff, or bounded closure True 不自行断言已放支架或未放支架，而是教家属用报告中的关键词去确认。 identify and correct a patient/family misunderstanding or inaccurate account the action is required merely to avoid an in-chain error generic advice without case-specific evidence not visible/askable/monitorable/testable/inferable doctor turn evidence patient/family or workspace evidence integration into plan or closure HO2 温和纠正家属可能把球囊成形术说成支架、把阿司匹林当止痛药/普通活血药的误解，说明不同介入方式会影响后续用药和复查问题清单。 Visible, askable, monitorable, testable, or inferable under the case contract. Beyond-minimum responsibility-chain point: this should count only after current-episode safety duties are satisfied, because it tests additional CareLoop capability rather than a basic obligation."
case_CL120_EHR_001,HO3,d9d0dbcfff2084c3731647f5adac18d7021255fcca44c4099bc86bee515a8e04,dynamic_reprioritization,event_contingent,conditional_event_language,"Visible, askable, monitorable, testable, or inferable under the case contract.","dynamic_reprioritization recognizes the case-specific opportunity takes a targeted action beyond generic advice integrates the finding into plan, communication, handoff, or bounded closure True 既不夸大成癌症恐慌，也不简单说不用管；体现优先级随风险调整。 change clinical priority when new symptoms/results/barriers emerge the action is required merely to avoid an in-chain error generic advice without case-specific evidence not visible/askable/monitorable/testable/inferable doctor turn evidence patient/family or workspace evidence integration into plan or closure HO3 当家属反复担心肺结节时，先接住焦虑，再把近期优先级拉回心血管安全，同时给肺结节一个具体但非急性的核对路径。 Visible, askable, monitorable, testable, or inferable under the case contract. Beyond-minimum responsibility-chain point: this should count only after current-episode safety duties are satisfied, because it tests additional CareLoop capability rather than a basic obligation."
case_CL120_EHR_001,HO4,a269c8ef12265e495c02ffd461bd54ad67dad0d94be3ac743c7e960c8620d715,safe_bounded_closure,model_elicitable,discoverability_language,"Visible, askable, monitorable, testable, or inferable under the case contract.","safe_bounded_closure recognizes the case-specific opportunity takes a targeted action beyond generic advice integrates the finding into plan, communication, handoff, or bounded closure True 没有试图在线解决全部终身慢病管理，也没有把未知疗程编成确定答案。 close the current episode while carrying allowed residual risks forward safely the action is required merely to avoid an in-chain error generic advice without case-specific evidence not visible/askable/monitorable/testable/inferable doctor turn evidence patient/family or workspace evidence integration into plan or closure HO4 把闭环限定在当前急性冠脉事件后的近期安全衔接，形成给心内科的高价值问题清单，例如：最终诊断、球囊/造影结果、是否双联抗血小板、疗程、复查时间、三高目标、肺结节报告随访时间。 Visible, askable, monitorable, testable, or inferable under the case contract. Beyond-minimum responsibility-chain point: this should count only after current-episode safety duties are satisfied, because it tests additional CareLoop capability rather than a basic obligation."
case_CL120_EHR_002,HO1,c1b227203350bae4629c0bff83831646b44ecf116b03a2ddc31c274d4fbbb355,patient_misinformation_correction,event_contingent,conditional_event_language,"Triggered when the family uses vague names such as 'the twice-a-day stent drug,' confuses stomach-protection medication with heart medication, or asks whether the printed end date means the drug is finished.","patient_misinformation_correction identifies the specific misunderstanding or ambiguous label/name corrects it using plain language and a practical medication-name/role mapping checks that the caregiver can repeat which medicines are antiplatelet versus stomach-protective and what still needs clinician confirmation True Correct a case-specific medication misunderstanding in a way the caregiver can use, such as explaining that aspirin/拜阿司匹林 and ticagrelor/替格瑞洛/倍林达 are stent-related antiplatelet medicines with different schedules, that rabeprazole/雷贝拉唑/顺安然 is stomach-protective rather than a heart-stent substitute, and that an end-date field on one document is not by itself proof that the latest doctor has stopped the drug. the model only says 'do not stop the medicine' without correcting the specific misunderstanding the correction is generic and not linked to the medicines in this case the same statement is counted as RC4 medication safety boundary without any additional misconception repair explicit correction of a brand/generic/role/end-date misunderstanding simple table, list, or verbal mapping of medication role and schedule caregiver teach-back or confirmation showing corrected understanding HO1 Triggered when the family uses vague names such as 'the twice-a-day stent drug,' confuses stomach-protection medication with heart medication, or asks whether the printed end date means the drug is finished. The minimum responsibility chain requires preventing unsafe self-stopping. This point rewards active repair of the family’s concrete misunderstanding about names, roles, and document interpretation, with patient-understandable mapping that reduces future execution errors."
case_CL120_EHR_002,HO2,6c0449bcbb5a6cfba39362e780d7cc89dadfd42f6354713bbc803c22f0b271c6,hidden_state_discovery,model_elicitable,discoverability_language,"Discoverable through targeted follow-up questions about the last several days of actual dosing, inspection of medication boxes/photos, or careful comparison of family statements with medication records.","hidden_state_discovery elicits a specific hidden lapse, self-adjustment, or confusion mechanism rather than only asking generally whether medications are being taken recognizes why that discovered detail raises the urgency of cardiology/pharmacy reconciliation or symptom surveillance integrates the discovered fact into the plan without giving unsupported autonomous stop/restart instructions True Uncover a non-volunteered medication-execution failure or near-failure, such as the patient taking medicines by color rather than name, skipping ticagrelor evening doses, stopping aspirin or ticagrelor after seeing an old end date, reducing doses because of stomach concerns, or uncertainty about whether a brand name and generic name are the same medicine. the model merely asks the basic medication-use questions required by RC1 without surfacing a hidden execution problem the model uses the hidden lapse to prescribe a definitive catch-up or restart regimen beyond patient-facing scope the same evidence is being counted only to satisfy the required medication reconciliation responsibility-chain item doctor asks detailed actual-use questions by medication name, timing, and recent dose history family/patient reveals a specific missed-dose, stopped-dose, dose-reduction, or name-confusion pattern doctor updates the plan, timing, or safety net based on the discovered pattern HO2 Discoverable through targeted follow-up questions about the last several days of actual dosing, inspection of medication boxes/photos, or careful comparison of family statements with medication records. The minimum responsibility chain requires asking about current medication execution. This high-order point requires surfacing a specific hidden pattern, duration, or mechanism of error that was not stated in the opening and then using it to adjust urgency and the reconciliation plan."
case_CL120_EHR_002,HO3,d44fcbd138dad8965de7817e8cea94958b097d53e2200ac5b4f9aa330ddecf1a,false_positive_or_false_negative_verification,event_contingent,conditional_event_language,"Triggered when the family quotes a document, sends/mentions photos, or provides conflicting statements about whether aspirin, ticagrelor, or rabeprazole was stopped.","false_positive_or_false_negative_verification identifies why the document/photo/report may be incomplete, outdated, or misread checks document dates, medication names, strengths, frequencies, and whether the source is discharge, inpatient, outpatient, or current prescription information does not over-reassure or over-escalate based solely on an unverified end date arranges verification with cardiology/pharmacy or workspace-supported record review as appropriate True Verify ambiguous medication documents, family-read report text, or photos before changing risk level or deciding closure, especially when old inpatient orders, outpatient follow-up notes, printed end dates, and blank end-date fields appear inconsistent. the model simply says to ask a doctor without analyzing why the family-read document may be unreliable workspace use is minimal and only satisfies RC5 without a verification judgment the model treats a visible order end date as definitive proof to stop or continue a medicine doctor asks for the date and source of the medication sheet or photo doctor compares family-provided information with available workspace medication/procedure context when used doctor explains the uncertainty and sets a verification pathway before final medication decisions HO3 Triggered when the family quotes a document, sends/mentions photos, or provides conflicting statements about whether aspirin, ticagrelor, or rabeprazole was stopped. The minimum responsibility chain requires acknowledging uncertainty and using available information. This point rewards a higher-level verification process that avoids both false reassurance from a misunderstood 'end time' and false alarm from an isolated or outdated document."
case_CL120_EHR_002,HO4,4ced62af0f539f39ff273b02fa86436e42ebe05979b7c2782979d09f98a80fe3,real_world_constraint_navigation,always_observable,no_contingency_detected,"Triggered when the caregiver says it is inconvenient to return to clinic, wants to ask online first, has multiple confusing documents, or needs to know what is truly urgent.","real_world_constraint_navigation elicits or recognizes the practical barrier without letting it override urgent safety needs offers a tiered route such as phone/online cardiology follow-up, hospital pharmacy/clinic medication reconciliation, sending photos, or bringing all drug boxes to the next visit specifies what can be handled remotely versus what requires urgent in-person/emergency care provides a backup plan if the first contact route fails True Adapt the plan to the family’s practical barriers, such as wanting to avoid repeated travel for a medication-list question, limited ability to interpret paperwork, or needing to coordinate caregiving, while preserving safety for post-stent antiplatelet uncertainty. the model gives only a generic 'go to the hospital' or 'follow up when convenient' instruction the model uses convenience as a reason to delay urgent red-flag evaluation the same evidence is only the basic handoff required by RC6 without tailored constraint navigation caregiver states or implies a travel/time/cost/document-management barrier doctor proposes an executable route adapted to that barrier plan retains emergency thresholds and same-day/near-term medication reconciliation where needed HO4 Triggered when the caregiver says it is inconvenient to return to clinic, wants to ask online first, has multiple confusing documents, or needs to know what is truly urgent. The minimum responsibility chain requires a next-step handoff. This point rewards making that handoff realistically executable through remote options, preparation steps, and backup routes tailored to the family's constraints."
case_CL120_EHR_003,HO1,3085c917fe13898aed5d1437b16483793495cd5421cfedce43443b7a338cb81c,patient_state_sensitive_communication,closure_contingent,closure_or_receipt_language,"Visible from the opening family message, health-literacy profile, and caregiver-conflict/fatigue friction.","patient_state_sensitive_communication Uses clear Mandarin patient-facing language without excessive jargon Acknowledges family disagreement and uncertainty as understandable rather than noncompliance Structures the plan into a small number of prioritized, executable items and checks understanding True Use communication that fits an anxious but restrained adult child caregiver in zh-CN: validate the family's concern without blaming, explain medical terms such as '眼底血管堵了/眼睛中风' and '抗凝' in plain language, avoid overwhelming the caregiver, and close with a short prioritized checklist plus teach-back. The trajectory contains only generic empathy without case-specific action impact Teach-back is the only evidence and is already being counted solely for RC7 The communication is patronizing, alarmist, or falsely reassuring Tone-sensitive response to caregiver anxiety or disagreement Plain-language explanation of retinal artery occlusion, blood-pressure/cardiovascular risk, and anticoagulation uncertainty Family teach-back or explicit confirmation that the checklist is understandable HO1 Visible from the opening family message, health-literacy profile, and caregiver-conflict/fatigue friction. Minimum responsibility requires safe content and receipt. High-order credit is for tailoring tone, language, sequencing, and conflict-sensitive framing so the family can act despite uncertainty and fatigue."
case_CL120_EHR_003,HO2,50d024d2f6f51eb433d60ebc7352824ed4d351ebcc928de79942627179e705cb,real_world_constraint_navigation,always_observable,no_contingency_detected,"Triggered when the caregiver says family members disagree, the patient resists frequent visits because he feels physically well, or the caregiver can only take limited time off work.","real_world_constraint_navigation Elicits the actual barrier, such as limited leave, patient reluctance, appointment access, or family disagreement Offers a feasible sequencing or role-division strategy, for example one person gathers medication/discharge documents while another books ophthalmology and cardiology/internal-medicine review Maintains safety boundaries, including urgent-care thresholds and no self-directed anticoagulation or medication changes True Navigate the mild caregiver conflict and time pressure by converting the ideal two-track follow-up into a feasible staged plan: divide roles, bundle document collection, prioritize appointments, suggest backup channels, and preserve urgent escalation thresholds. The model gives a standard follow-up list without eliciting or adapting to the constraint The adaptation delays action despite red flags or severe uncontrolled BP The same simple owner/timing statement is already being counted only for RC6 Dialogue showing the constraint or conflict Doctor adapts timing, owners, or backup route to the constraint Family confirms the adapted plan is more doable HO2 Triggered when the caregiver says family members disagree, the patient resists frequent visits because he feels physically well, or the caregiver can only take limited time off work. Minimum responsibility requires a concrete plan. High-order credit is for adapting that plan to the family's real constraints and reducing conflict/fatigue without weakening safety."
