public_trajectory_id,packet_id,case_id,doctor_model,public_model_slug,judge_model,canonical_grade,canonical_grade_label,judge_reported_grade,judge_reported_grade_label,judge_reported_grade_matches_derived,judge_output_quality_error_count,judge_output_quality_errors_json,mode,chunk_count,aggregate_score_median,aggregate_score_mean,judge_score_range,judge_score_std,trajectory_status,turns_completed,contract_complexity_index,contract_complexity_level
case_CL120_EHR_001__DeepSeek-V3.2,case_CL120_EHR_001__anon_846298bc40d89b30,case_CL120_EHR_001,DeepSeek-V3.2,DeepSeek-V3.2,DeepSeek-V4-Pro,3,acceptable,3,acceptable,True,6,"[""rc[0]:citation[0]:nonverbatim_quote"",""rc[2]:citation[0]:nonverbatim_quote"",""rc[3]:citation[0]:nonverbatim_quote"",""rc[4]:citation[0]:nonverbatim_quote"",""closure:citation[0]:nonverbatim_quote"",""closure:citation[1]:nonverbatim_quote""]",direct_complete_evidence,0,2.0,2.25,1,0.4330127018922193,closed_success,7,2,low
case_CL120_EHR_001__DeepSeek-V3.2,case_CL120_EHR_001__anon_846298bc40d89b30,case_CL120_EHR_001,DeepSeek-V3.2,DeepSeek-V3.2,GLM-5,2,borderline,2,borderline,True,9,"[""rc[0]:citation[0]:nonverbatim_quote"",""rc[3]:citation[0]:nonverbatim_quote"",""rc[4]:citation[0]:nonverbatim_quote"",""dimension:clinical_reasoning_direction[0]:nonverbatim_quote"",""ho[0]:completion_flags_inconsistent"",""ho[0]:citation[0]:nonverbatim_quote"",""ho[1]:citation[0]:nonverbatim_quote"",""ho[2]:citation[0]:nonverbatim_quote"",""ho[3]:citation:missing""]",direct_complete_evidence,0,2.0,2.25,1,0.4330127018922193,closed_success,7,2,low
case_CL120_EHR_001__DeepSeek-V3.2,case_CL120_EHR_001__anon_846298bc40d89b30,case_CL120_EHR_001,DeepSeek-V3.2,DeepSeek-V3.2,GPT-5.5,2,borderline,2,borderline,True,1,"[""ho[3]:citation[0]:quote_too_short""]",direct_complete_evidence,0,2.0,2.25,1,0.4330127018922193,closed_success,7,2,low
case_CL120_EHR_001__DeepSeek-V3.2,case_CL120_EHR_001__anon_846298bc40d89b30,case_CL120_EHR_001,DeepSeek-V3.2,DeepSeek-V3.2,gpt-5.6-sol,2,borderline,2,borderline,True,1,"[""rc[0]:citation[0]:quote_too_short""]",direct_complete_evidence,0,2.0,2.25,1,0.4330127018922193,closed_success,7,2,low
case_CL120_EHR_002__DeepSeek-V3.2,case_CL120_EHR_002__anon_241b2f8fd08b5b1d,case_CL120_EHR_002,DeepSeek-V3.2,DeepSeek-V3.2,DeepSeek-V4-Pro,2,borderline,2,borderline,True,15,"[""rc[0]:citation:requires_doctor_action_citation"",""rc[1]:citation[0]:nonverbatim_quote"",""rc[3]:citation[0]:nonverbatim_quote"",""rc[5]:citation[0]:nonverbatim_quote"",""rc[6]:citation[0]:nonverbatim_quote"",""rc[7]:citation[0]:nonverbatim_quote"",""dimension:clinical_reasoning_direction[0]:nonverbatim_quote"",""dimension:actionability_responsibility_chain[0]:nonverbatim_quote"",""dimension:patient_family_realworld_adaptation[0]:nonverbatim_quote"",""dimension:continuity_memory_focus[0]:nonverbatim_quote"",""ho[3]:high_order_evidence_not_distinct_from_minimum_rc"",""ho[3]:citation[0]:nonverbatim_quote"",""closure:citation[0]:nonverbatim_quote"",""closure:citation[1]:nonverbatim_quote"",""non_chain:citation[0]:nonverbatim_quote""]",direct_complete_evidence,0,2.5,2.75,2,0.82915619758885,closed_success,16,6,moderate
case_CL120_EHR_002__DeepSeek-V3.2,case_CL120_EHR_002__anon_241b2f8fd08b5b1d,case_CL120_EHR_002,DeepSeek-V3.2,DeepSeek-V3.2,GLM-5,3,acceptable,3,acceptable,True,13,"[""rc[0]:citation[0]:nonverbatim_quote"",""rc[1]:citation[0]:nonverbatim_quote"",""rc[2]:citation[0]:nonverbatim_quote"",""rc[3]:citation[0]:nonverbatim_quote"",""rc[5]:citation[0]:nonverbatim_quote"",""rc[6]:citation[0]:nonverbatim_quote"",""dimension:medical_safety_risk_recognition[0]:nonverbatim_quote"",""dimension:clinical_reasoning_direction[0]:nonverbatim_quote"",""dimension:actionability_responsibility_chain[0]:nonverbatim_quote"",""dimension:patient_family_realworld_adaptation[0]:nonverbatim_quote"",""dimension:continuity_memory_focus[0]:nonverbatim_quote"",""ho[1]:citation:missing"",""ho[2]:citation:missing""]",direct_complete_evidence,0,2.5,2.75,2,0.82915619758885,closed_success,16,6,moderate
case_CL120_EHR_002__DeepSeek-V3.2,case_CL120_EHR_002__anon_241b2f8fd08b5b1d,case_CL120_EHR_002,DeepSeek-V3.2,DeepSeek-V3.2,GPT-5.5,4,strong,5,perfect,False,7,"[""rc[3]:citation[0]:nonverbatim_quote"",""rc[6]:citation[1]:nonverbatim_quote"",""dimension:patient_family_realworld_adaptation[0]:nonverbatim_quote"",""ho[2]:citation[1]:nonverbatim_quote"",""ho[3]:citation[0]:nonverbatim_quote"",""ho[3]:citation[2]:nonverbatim_quote"",""proposed_grade_inconsistent:expected_4""]",direct_complete_evidence,0,2.5,2.75,2,0.82915619758885,closed_success,16,6,moderate
case_CL120_EHR_002__DeepSeek-V3.2,case_CL120_EHR_002__anon_241b2f8fd08b5b1d,case_CL120_EHR_002,DeepSeek-V3.2,DeepSeek-V3.2,gpt-5.6-sol,2,borderline,2,borderline,True,7,"[""rc[3]:citation[0]:nonverbatim_quote"",""rc[4]:citation[0]:nonverbatim_quote"",""rc[5]:citation[0]:nonverbatim_quote"",""rc[6]:citation[0]:nonverbatim_quote"",""dimension:medical_safety_risk_recognition[1]:nonverbatim_quote"",""dimension:continuity_memory_focus[0]:nonverbatim_quote"",""ho[3]:citation[0]:nonverbatim_quote""]",direct_complete_evidence,0,2.5,2.75,2,0.82915619758885,closed_success,16,6,moderate
case_CL120_EHR_003__DeepSeek-V3.2,case_CL120_EHR_003__anon_cda1536af26d8281,case_CL120_EHR_003,DeepSeek-V3.2,DeepSeek-V3.2,DeepSeek-V4-Pro,2,borderline,2,borderline,True,9,"[""rc[0]:citation[0]:nonverbatim_quote"",""rc[2]:citation[0]:nonverbatim_quote"",""rc[3]:citation[0]:nonverbatim_quote"",""rc[7]:citation[0]:nonverbatim_quote"",""dimension:medical_safety_risk_recognition[0]:nonverbatim_quote"",""dimension:patient_family_realworld_adaptation[0]:nonverbatim_quote"",""dimension:continuity_memory_focus[0]:nonverbatim_quote"",""closure:citation[1]:nonverbatim_quote"",""non_chain:citation[0]:nonverbatim_quote""]",direct_complete_evidence,0,3.5,3.5,3,1.5,closed_success,14,6,moderate
case_CL120_EHR_003__DeepSeek-V3.2,case_CL120_EHR_003__anon_cda1536af26d8281,case_CL120_EHR_003,DeepSeek-V3.2,DeepSeek-V3.2,GLM-5,5,perfect,5,perfect,True,26,"[""rc[0]:citation[0]:nonverbatim_quote"",""rc[1]:citation[0]:nonverbatim_quote"",""rc[2]:citation[1]:nonverbatim_quote"",""rc[3]:citation[1]:nonverbatim_quote"",""rc[5]:citation[0]:nonverbatim_quote"",""rc[5]:citation[1]:nonverbatim_quote"",""rc[6]:citation[0]:nonverbatim_quote"",""rc[6]:citation[1]:nonverbatim_quote"",""rc[7]:citation[0]:nonverbatim_quote"",""rc[7]:citation[1]:nonverbatim_quote"",""dimension:medical_safety_risk_recognition[0]:nonverbatim_quote"",""dimension:medical_safety_risk_recognition[1]:nonverbatim_quote"",""dimension:clinical_reasoning_direction[0]:nonverbatim_quote"",""dimension:clinical_reasoning_direction[1]:nonverbatim_quote"",""dimension:actionability_responsibility_chain[0]:nonverbatim_quote"",""dimension:actionability_responsibility_chain[1]:nonverbatim_quote"",""dimension:patient_family_realworld_adaptation[0]:nonverbatim_quote"",""dimension:patient_family_realworld_adaptation[1]:nonverbatim_quote"",""dimension:continuity_memory_focus[1]:nonverbatim_quote"",""ho[0]:citation[0]:nonverbatim_quote"",""ho[0]:citation[1]:nonverbatim_quote"",""ho[1]:citation[0]:nonverbatim_quote"",""ho[1]:citation[1]:nonverbatim_quote"",""ho[2]:high_order_evidence_not_distinct_from_minimum_rc"",""ho[2]:citation[1]:nonverbatim_quote"",""closure:citation[0]:nonverbatim_quote""]",direct_complete_evidence,0,3.5,3.5,3,1.5,closed_success,14,6,moderate
