doctor_model,primary_failure_mode,n,rate
DeepSeek-V3.2,runtime_error,1,0.008333333333333333
DeepSeek-V3.2,open_at_100,7,0.058333333333333334
DeepSeek-V3.2,very_low_score,46,0.38333333333333336
DeepSeek-V3.2,long_or_tool_intensive_low_score,23,0.19166666666666668
DeepSeek-V3.2,workspace_underuse_candidate,2,0.016666666666666666
DeepSeek-V3.2,closed_but_low_score,6,0.05
DeepSeek-V3.2,high_judge_disagreement,35,0.2916666666666667
DeepSeek-V3.2,no_major_failure_flag,0,0.0
DeepSeek-V4-Pro,runtime_error,2,0.016666666666666666
DeepSeek-V4-Pro,open_at_100,6,0.05
DeepSeek-V4-Pro,very_low_score,37,0.30833333333333335
DeepSeek-V4-Pro,long_or_tool_intensive_low_score,22,0.18333333333333332
DeepSeek-V4-Pro,workspace_underuse_candidate,0,0.0
DeepSeek-V4-Pro,closed_but_low_score,11,0.09166666666666666
DeepSeek-V4-Pro,high_judge_disagreement,39,0.325
DeepSeek-V4-Pro,no_major_failure_flag,3,0.025
Doubao-Seed-2.0-lite,runtime_error,1,0.008333333333333333
Doubao-Seed-2.0-lite,open_at_100,2,0.016666666666666666
Doubao-Seed-2.0-lite,very_low_score,70,0.5833333333333334
Doubao-Seed-2.0-lite,long_or_tool_intensive_low_score,4,0.03333333333333333
Doubao-Seed-2.0-lite,workspace_underuse_candidate,12,0.1
Doubao-Seed-2.0-lite,closed_but_low_score,15,0.125
Doubao-Seed-2.0-lite,high_judge_disagreement,16,0.13333333333333333
Doubao-Seed-2.0-lite,no_major_failure_flag,0,0.0
GLM-5,runtime_error,2,0.016666666666666666
GLM-5,open_at_100,1,0.008333333333333333
GLM-5,very_low_score,42,0.35
GLM-5,long_or_tool_intensive_low_score,18,0.15
GLM-5,workspace_underuse_candidate,0,0.0
GLM-5,closed_but_low_score,10,0.08333333333333333
GLM-5,high_judge_disagreement,46,0.38333333333333336
GLM-5,no_major_failure_flag,1,0.008333333333333333
GPT-5.4,runtime_error,1,0.008333333333333333
GPT-5.4,open_at_100,7,0.058333333333333334
GPT-5.4,very_low_score,24,0.2
GPT-5.4,long_or_tool_intensive_low_score,5,0.041666666666666664
GPT-5.4,workspace_underuse_candidate,24,0.2
GPT-5.4,closed_but_low_score,6,0.05
GPT-5.4,high_judge_disagreement,44,0.36666666666666664
GPT-5.4,no_major_failure_flag,9,0.075
GPT-5.6 Sol,runtime_error,2,0.016666666666666666
GPT-5.6 Sol,open_at_100,10,0.08333333333333333
GPT-5.6 Sol,very_low_score,17,0.14166666666666666
GPT-5.6 Sol,long_or_tool_intensive_low_score,2,0.016666666666666666
GPT-5.6 Sol,workspace_underuse_candidate,9,0.075
GPT-5.6 Sol,closed_but_low_score,5,0.041666666666666664
GPT-5.6 Sol,high_judge_disagreement,41,0.3416666666666667
GPT-5.6 Sol,no_major_failure_flag,34,0.2833333333333333
Kimi K2,runtime_error,1,0.008333333333333333
Kimi K2,open_at_100,3,0.025
Kimi K2,very_low_score,61,0.5083333333333333
Kimi K2,long_or_tool_intensive_low_score,4,0.03333333333333333
Kimi K2,workspace_underuse_candidate,11,0.09166666666666666
Kimi K2,closed_but_low_score,11,0.09166666666666666
Kimi K2,high_judge_disagreement,29,0.24166666666666667
Kimi K2,no_major_failure_flag,0,0.0
MiniMax M3,runtime_error,22,0.18333333333333332
MiniMax M3,open_at_100,8,0.06666666666666667
MiniMax M3,very_low_score,30,0.25
MiniMax M3,long_or_tool_intensive_low_score,2,0.016666666666666666
MiniMax M3,workspace_underuse_candidate,19,0.15833333333333333
MiniMax M3,closed_but_low_score,7,0.058333333333333334
MiniMax M3,high_judge_disagreement,32,0.26666666666666666
MiniMax M3,no_major_failure_flag,0,0.0
Qwen3-30B-A3B-Instruct-2507,runtime_error,3,0.025
Qwen3-30B-A3B-Instruct-2507,open_at_100,4,0.03333333333333333
Qwen3-30B-A3B-Instruct-2507,very_low_score,72,0.6
Qwen3-30B-A3B-Instruct-2507,long_or_tool_intensive_low_score,11,0.09166666666666666
Qwen3-30B-A3B-Instruct-2507,workspace_underuse_candidate,0,0.0
Qwen3-30B-A3B-Instruct-2507,closed_but_low_score,8,0.06666666666666667
Qwen3-30B-A3B-Instruct-2507,high_judge_disagreement,22,0.18333333333333332
Qwen3-30B-A3B-Instruct-2507,no_major_failure_flag,0,0.0
Qwen3.8-Max,runtime_error,3,0.025
Qwen3.8-Max,open_at_100,8,0.06666666666666667
Qwen3.8-Max,very_low_score,38,0.31666666666666665
Qwen3.8-Max,long_or_tool_intensive_low_score,8,0.06666666666666667
Qwen3.8-Max,workspace_underuse_candidate,3,0.025
Qwen3.8-Max,closed_but_low_score,17,0.14166666666666666
Qwen3.8-Max,high_judge_disagreement,39,0.325
Qwen3.8-Max,no_major_failure_flag,4,0.03333333333333333
