dimension_type,dimension_value,dimension_label,doctor_model,n_cases,n_trajectories,primary_score_mean,primary_score_ci95_low,primary_score_ci95_high,primary_score_median,strong_or_above_rate,closed_success_rate,open_at_100_rate,runtime_error_rate,mean_turns,rank_within_dimension
disease_domain,cardiovascular,disease_domain: cardiovascular,DeepSeek-V3.2,13,13,2.8461538461538463,2.3076923076923075,3.423076923076923,3.0,0.07692307692307693,1.0,0.0,0.0,11.461538461538462,8.5
disease_domain,cardiovascular,disease_domain: cardiovascular,DeepSeek-V4-Pro,13,13,3.6153846153846154,2.923076923076923,4.269230769230769,3.5,0.46153846153846156,1.0,0.0,0.0,15.307692307692308,3.0
disease_domain,cardiovascular,disease_domain: cardiovascular,Doubao-Seed-2.0-lite,13,13,2.8461538461538463,2.3461538461538463,3.3846153846153846,3.0,0.15384615384615385,1.0,0.0,0.0,13.23076923076923,8.5
disease_domain,cardiovascular,disease_domain: cardiovascular,GLM-5,13,13,3.269230769230769,2.730769230769231,3.769230769230769,3.5,0.3076923076923077,1.0,0.0,0.0,14.692307692307692,6.0
disease_domain,cardiovascular,disease_domain: cardiovascular,GPT-5.4,13,13,3.769230769230769,3.1538461538461537,4.346153846153846,4.0,0.5384615384615384,1.0,0.0,0.0,16.846153846153847,2.0
disease_domain,cardiovascular,disease_domain: cardiovascular,GPT-5.6 Sol,13,13,4.423076923076923,3.8461538461538463,4.846153846153846,5.0,0.8461538461538461,1.0,0.0,0.0,10.461538461538462,1.0
disease_domain,cardiovascular,disease_domain: cardiovascular,Kimi K2,13,13,3.0384615384615383,2.4615384615384617,3.6923076923076925,3.0,0.23076923076923078,0.9230769230769231,0.07692307692307693,0.0,19.846153846153847,7.0
disease_domain,cardiovascular,disease_domain: cardiovascular,MiniMax M3,13,13,3.423076923076923,2.923076923076923,3.923076923076923,3.5,0.23076923076923078,0.9230769230769231,0.07692307692307693,0.0,23.692307692307693,4.0
disease_domain,cardiovascular,disease_domain: cardiovascular,Qwen3-30B-A3B-Instruct-2507,13,13,2.5,2.0,3.076923076923077,2.0,0.15384615384615385,0.9230769230769231,0.0,0.07692307692307693,20.076923076923077,10.0
disease_domain,cardiovascular,disease_domain: cardiovascular,Qwen3.8-Max,13,13,3.3076923076923075,2.769230769230769,3.8461538461538463,3.5,0.3076923076923077,0.9230769230769231,0.0,0.07692307692307693,20.153846153846153,5.0
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,DeepSeek-V3.2,4,4,3.0,2.375,3.5,3.25,0,1.0,0.0,0.0,21.25,4.0
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,DeepSeek-V4-Pro,4,4,2.75,2.25,3.25,2.75,0,0.75,0.0,0.25,11,6.0
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,Doubao-Seed-2.0-lite,4,4,2.5,2.0,3.125,2.25,0,1.0,0.0,0.0,10.75,9.0
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,GLM-5,4,4,2.125,2.0,2.375,2.0,0,0.75,0.0,0.25,14.25,10.0
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,GPT-5.4,4,4,4.0,3.0,5.0,4.25,0.5,1.0,0.0,0.0,19.5,2.0
disease_domain,dermatology_ent_ophthalmology,disease_domain: dermatology_ent_ophthalmology,GPT-5.6 Sol,4,4,4.125,3.5,4.75,4.0,0.5,0.75,0.0,0.25,17.25,1.0
