judge_model,quality_error,count,rate_per_cell
DeepSeek-V4-Pro,dimension:patient_family_realworld_adaptation[0]:nonverbatim_quote,718,0.5983333333333334
DeepSeek-V4-Pro,rc[5]:citation[0]:nonverbatim_quote,691,0.5758333333333333
DeepSeek-V4-Pro,dimension:continuity_memory_focus[0]:nonverbatim_quote,684,0.57
DeepSeek-V4-Pro,rc[3]:citation[0]:nonverbatim_quote,640,0.5333333333333333
DeepSeek-V4-Pro,rc[4]:citation[0]:nonverbatim_quote,636,0.53
DeepSeek-V4-Pro,closure:citation[0]:nonverbatim_quote,629,0.5241666666666667
DeepSeek-V4-Pro,rc[2]:citation[0]:nonverbatim_quote,550,0.4583333333333333
DeepSeek-V4-Pro,rc[6]:citation[0]:nonverbatim_quote,546,0.455
DeepSeek-V4-Pro,dimension:clinical_reasoning_direction[0]:nonverbatim_quote,541,0.4508333333333333
DeepSeek-V4-Pro,rc[1]:citation[0]:nonverbatim_quote,521,0.43416666666666665
DeepSeek-V4-Pro,dimension:medical_safety_risk_recognition[0]:nonverbatim_quote,517,0.43083333333333335
DeepSeek-V4-Pro,dimension:actionability_responsibility_chain[0]:nonverbatim_quote,503,0.4191666666666667
DeepSeek-V4-Pro,ho[3]:citation[0]:nonverbatim_quote,492,0.41
DeepSeek-V4-Pro,ho[1]:citation[0]:nonverbatim_quote,480,0.4
DeepSeek-V4-Pro,rc[0]:citation[0]:nonverbatim_quote,460,0.38333333333333336
DeepSeek-V4-Pro,ho[2]:citation[0]:nonverbatim_quote,434,0.3616666666666667
DeepSeek-V4-Pro,ho[0]:citation[0]:nonverbatim_quote,432,0.36
DeepSeek-V4-Pro,ho[0]:citation[1]:nonverbatim_quote,402,0.335
DeepSeek-V4-Pro,ho[1]:citation[1]:nonverbatim_quote,388,0.3233333333333333
DeepSeek-V4-Pro,ho[3]:citation[1]:nonverbatim_quote,342,0.285
DeepSeek-V4-Pro,ho[2]:citation[1]:nonverbatim_quote,322,0.2683333333333333
DeepSeek-V4-Pro,closure:citation[1]:nonverbatim_quote,301,0.25083333333333335
DeepSeek-V4-Pro,rc[7]:citation[0]:nonverbatim_quote,227,0.18916666666666668
DeepSeek-V4-Pro,proposed_grade_inconsistent:expected_5,183,0.1525
DeepSeek-V4-Pro,ho[2]:completion_flags_inconsistent,158,0.13166666666666665
DeepSeek-V4-Pro,rc[4]:citation[1]:nonverbatim_quote,155,0.12916666666666668
DeepSeek-V4-Pro,rc[5]:citation[1]:nonverbatim_quote,155,0.12916666666666668
DeepSeek-V4-Pro,ho[3]:completion_flags_inconsistent,148,0.12333333333333334
DeepSeek-V4-Pro,rc[2]:citation[1]:nonverbatim_quote,146,0.12166666666666667
DeepSeek-V4-Pro,rc[3]:citation[1]:nonverbatim_quote,142,0.11833333333333333
DeepSeek-V4-Pro,ho[1]:completion_flags_inconsistent,138,0.115
DeepSeek-V4-Pro,rc[1]:citation[1]:nonverbatim_quote,127,0.10583333333333333
DeepSeek-V4-Pro,rc[6]:citation[1]:nonverbatim_quote,112,0.09333333333333334
DeepSeek-V4-Pro,rc[6]:citation:requires_doctor_action_citation,107,0.08916666666666667
DeepSeek-V4-Pro,rc[0]:citation[1]:nonverbatim_quote,96,0.08
DeepSeek-V4-Pro,ho[0]:completion_flags_inconsistent,92,0.07666666666666666
DeepSeek-V4-Pro,closure:citation:requires_doctor_action_citation,86,0.07166666666666667
DeepSeek-V4-Pro,proposed_grade_inconsistent:expected_4,54,0.045
DeepSeek-V4-Pro,ho[0]:citation[2]:nonverbatim_quote,53,0.04416666666666667
DeepSeek-V4-Pro,dimension:actionability_responsibility_chain[1]:nonverbatim_quote,51,0.0425
DeepSeek-V4-Pro,ho[2]:citation:missing,47,0.03916666666666667
DeepSeek-V4-Pro,dimension:clinical_reasoning_direction[1]:nonverbatim_quote,46,0.03833333333333333
DeepSeek-V4-Pro,dimension:medical_safety_risk_recognition[1]:nonverbatim_quote,46,0.03833333333333333
DeepSeek-V4-Pro,rc[5]:citation:requires_doctor_action_citation,46,0.03833333333333333
DeepSeek-V4-Pro,dimension:patient_family_realworld_adaptation[1]:nonverbatim_quote,45,0.0375
DeepSeek-V4-Pro,dimension:continuity_memory_focus[1]:nonverbatim_quote,44,0.03666666666666667
DeepSeek-V4-Pro,non_chain:citation[0]:nonverbatim_quote,44,0.03666666666666667
DeepSeek-V4-Pro,ho[3]:citation:missing,43,0.035833333333333335
DeepSeek-V4-Pro,rc[7]:citation[1]:nonverbatim_quote,43,0.035833333333333335
DeepSeek-V4-Pro,closure:citation[2]:nonverbatim_quote,41,0.034166666666666665
DeepSeek-V4-Pro,ho[1]:high_order_evidence_not_distinct_from_minimum_rc,40,0.03333333333333333
DeepSeek-V4-Pro,ho[0]:high_order_evidence_not_distinct_from_minimum_rc,39,0.0325
DeepSeek-V4-Pro,ho[1]:citation[2]:nonverbatim_quote,36,0.03
DeepSeek-V4-Pro,rc[6]:citation:missing,35,0.029166666666666667
DeepSeek-V4-Pro,rc[5]:citation:missing,34,0.028333333333333332
DeepSeek-V4-Pro,ho[1]:citation:missing,33,0.0275
DeepSeek-V4-Pro,rc[4]:citation:missing,33,0.0275
DeepSeek-V4-Pro,rc[7]:citation:requires_doctor_action_citation,32,0.02666666666666667
DeepSeek-V4-Pro,ho[0]:citation:missing,28,0.023333333333333334
DeepSeek-V4-Pro,rc[1]:citation:missing,28,0.023333333333333334
DeepSeek-V4-Pro,proposed_grade_inconsistent:expected_2,27,0.0225
DeepSeek-V4-Pro,rc[3]:citation:missing,26,0.021666666666666667
DeepSeek-V4-Pro,ho[2]:high_order_evidence_not_distinct_from_minimum_rc,25,0.020833333333333332
DeepSeek-V4-Pro,ho[3]:high_order_evidence_not_distinct_from_minimum_rc,25,0.020833333333333332
DeepSeek-V4-Pro,absent_non_chain_defect_requires_none_fields,23,0.019166666666666665
DeepSeek-V4-Pro,ho[2]:citation[2]:nonverbatim_quote,23,0.019166666666666665
DeepSeek-V4-Pro,invalid_status_cannot_be_fully_valid,22,0.018333333333333333
DeepSeek-V4-Pro,rc[7]:citation:missing,22,0.018333333333333333
DeepSeek-V4-Pro,rc[2]:citation:missing,20,0.016666666666666666
DeepSeek-V4-Pro,rc[8]:citation[0]:nonverbatim_quote,18,0.015
DeepSeek-V4-Pro,valid_status_requires_safe_executable_traceable,18,0.015
DeepSeek-V4-Pro,ho[3]:citation[2]:nonverbatim_quote,16,0.013333333333333334
DeepSeek-V4-Pro,closure:citation:missing,15,0.0125
DeepSeek-V4-Pro,important_non_chain_defect_missing_or_weak_explanation,13,0.010833333333333334
DeepSeek-V4-Pro,closure:citation[3]:nonverbatim_quote,11,0.009166666666666667
DeepSeek-V4-Pro,dimension:actionability_responsibility_chain[2]:nonverbatim_quote,10,0.008333333333333333
DeepSeek-V4-Pro,dimension:medical_safety_risk_recognition:requires_doctor_action_citation,10,0.008333333333333333
DeepSeek-V4-Pro,dimension:patient_family_realworld_adaptation:requires_doctor_action_citation,10,0.008333333333333333
DeepSeek-V4-Pro,dimension:continuity_memory_focus:requires_doctor_action_citation,9,0.0075
DeepSeek-V4-Pro,dimension:actionability_responsibility_chain:requires_doctor_action_citation,8,0.006666666666666667
DeepSeek-V4-Pro,ho[0]:citation[3]:nonverbatim_quote,8,0.006666666666666667
