packet_id,public_model_slug,public_trajectory_id,case_id,doctor_model,terminal_status,turns_completed,runtime_error_present,source_trajectory_sha256,packet_sha256,source_trajectory_file,retained_event_count,doctor_message_count,doctor_turn_count,workspace_turn_count,workspace_entry_count,workspace_result_count,doctor_operation_routing_count,has_workspace,turns_per_workspace_turn,first_workspace_turn,last_workspace_turn,family_message_count,patient_message_count,doctor_system_notification_count,runtime_error_category,runtime_error_type,runtime_error_message_excerpt,closure_status,closure_kind,closed_success_flag,open_at_100_flag,runtime_error_flag,aggregate_score_median,aggregate_score_mean,judge_score_range,judge_score_std,serious_error_any_judge,minor_or_moderate_error_any_judge,important_non_chain_defect_any_judge,judge_reported_grade_mismatch_count,judge_output_quality_error_count,judge_with_any_quality_error_count,contract_complexity_index,contract_complexity_level
case_CL120_EHR_001__anon_846298bc40d89b30,DeepSeek-V3.2,case_CL120_EHR_001__DeepSeek-V3.2,case_CL120_EHR_001,DeepSeek-V3.2,closed_success,7,False,e1aaa8d67f40d0971726c23355fff91c5d6b1430a4efbc5bb278a28414e01fd0,ff1ad66f11dda211723414e590c1bd58542c8f3c899108c2d08b9586958141f1,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_001.json,73,7,7,6,20,18,18,True,1.1666666666666667,1,7,8,0,2,,,,closed,terminal_safe_episode_closed,True,False,False,2.0,2.25,1,0.4330127018922193,False,True,True,0,17,4,2,low
case_CL120_EHR_002__anon_241b2f8fd08b5b1d,DeepSeek-V3.2,case_CL120_EHR_002__DeepSeek-V3.2,case_CL120_EHR_002,DeepSeek-V3.2,closed_success,16,False,e93c5cc60fde20ef2a111c0055cd890051bef122a080eed1d1db92589d64f675,da40c6c84a869e017de3590503b3cbaa4269ee67b8c2425aa1110b7b64436c41,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_002.json,79,16,16,7,15,14,14,True,2.2857142857142856,1,16,17,0,3,,,,closed,terminal_safe_episode_closed,True,False,False,2.5,2.75,2,0.82915619758885,False,True,True,1,42,4,6,moderate
case_CL120_EHR_003__anon_cda1536af26d8281,DeepSeek-V3.2,case_CL120_EHR_003__DeepSeek-V3.2,case_CL120_EHR_003,DeepSeek-V3.2,closed_success,14,False,9f0f1e986ea164e4f677971ba45d22bd452038e18cd3f10bcf361652c87bdd60,7db2d362ab88dba336d521e2f792a8841dfde909663b6da6daf14dd6044f005c,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_003.json,51,14,14,2,7,6,6,True,7.0,1,2,15,0,3,,,,closed,terminal_safe_episode_closed,True,False,False,3.5,3.5,3,1.5,False,True,True,0,45,4,6,moderate
case_CL120_EHR_004__anon_05afe70d4ad65f61,DeepSeek-V3.2,case_CL120_EHR_004__DeepSeek-V3.2,case_CL120_EHR_004,DeepSeek-V3.2,closed_success,3,False,a178cc289c8e0b28da8528702e7257b08fcb83b07a1721ede46c533b103d86e9,966215f3a951f49c60f8cd24668531228aa1dc4b035e83dccf047b0a203de5df,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_004.json,26,3,3,2,6,5,5,True,1.5,1,2,4,0,3,,,,closed,terminal_safe_episode_closed,True,False,False,2.0,2.25,3,1.0897247358851685,True,True,False,0,21,4,6,moderate
case_CL120_EHR_005__anon_95902e39c5f185e5,DeepSeek-V3.2,case_CL120_EHR_005__DeepSeek-V3.2,case_CL120_EHR_005,DeepSeek-V3.2,closed_success,2,False,7a01d7b783bc10de2e0c0695ec1c82ed6e0312fdd43aa0adb622079989e28f48,74cc4a6072adf72f4b120303e1e0aef4c10ebb489846852d9ae00a941c04bde1,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_005.json,21,2,2,1,5,4,4,True,2.0,1,1,3,0,3,,,,closed,terminal_safe_handoff_closed,True,False,False,1.5,2.25,4,1.6393596310755,True,True,False,0,22,3,5,moderate
case_CL120_EHR_006__anon_aec6f3028b55916b,DeepSeek-V3.2,case_CL120_EHR_006__DeepSeek-V3.2,case_CL120_EHR_006,DeepSeek-V3.2,closed_success,3,False,b306d4068d54d3eaa1bc19233c30f514ec9ce62636f7057e9c95841d4b7f6452,9dbfeb6aca36d0a4843b26e8a79ef1f547b20fa4ff7b77e3b5c4040e9d151ace,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_006.json,25,3,3,2,6,5,5,True,1.5,1,3,4,0,2,,,,closed,terminal_safe_handoff_closed,True,False,False,3.0,3,4,2.0,True,True,False,0,22,2,4,moderate
case_CL120_EHR_007__anon_77b4567bdd5ccbd7,DeepSeek-V3.2,case_CL120_EHR_007__DeepSeek-V3.2,case_CL120_EHR_007,DeepSeek-V3.2,closed_success,7,False,acc167dc5a60a79e7b4baca1027c8c3c1247dc0601bd630b74cb8ec7dbb3d365,7eb6ca05e3a23b29767b43766f46e191b0b5373fe4bd2721de9075163a9e7c3e,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_007.json,54,7,7,6,14,12,12,True,1.1666666666666667,1,7,8,0,1,,,,closed,terminal_safe_episode_closed,True,False,False,3.0,3,4,2.0,True,True,False,0,38,4,7,high
case_CL120_EHR_008__anon_a755899e27dd1786,DeepSeek-V3.2,case_CL120_EHR_008__DeepSeek-V3.2,case_CL120_EHR_008,DeepSeek-V3.2,closed_success,10,False,449690d4bca230b2d5bf00380c9ab7705cfa7943ded13b697b3c5238c902099f,a6728684322d6fe721e6ff927102a81fe63e9430526b7bc732db852973c16112,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_008.json,63,10,10,6,15,13,13,True,1.6666666666666667,1,8,11,0,1,,,,closed,terminal_safe_episode_closed,True,False,False,3.0,3,4,2.0,True,False,True,0,39,2,6,moderate
case_CL120_EHR_009__anon_402a9ea236ce212c,DeepSeek-V3.2,case_CL120_EHR_009__DeepSeek-V3.2,case_CL120_EHR_009,DeepSeek-V3.2,closed_success,27,False,6ca0a066bac11a39e79fa46be9c6580d772e68e3b4f231f98155611a7d2c88ae,ef98bb503801a8a1ab9605d5a5149dd4a6cd7fef21d12b80bd998d4f4a7285ed,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_009.json,135,27,27,11,25,24,23,True,2.4545454545454546,1,27,28,0,8,,,,closed,terminal_safe_episode_closed,True,False,False,3.5,3.25,4,1.7853571071357126,True,True,True,1,37,4,4,moderate
case_CL120_EHR_010__anon_47f022ce59507041,DeepSeek-V3.2,case_CL120_EHR_010__DeepSeek-V3.2,case_CL120_EHR_010,DeepSeek-V3.2,closed_success,14,False,5c23b46e071b86e1b8e2c6dc46380ecb13e50a653bd0ccc0bc9d80d616518790,02d54b6488543a5ee7178c94775a88cb3c86cda53144d146c8a73bf42965779d,trajectories/by_model/DeepSeek-V3.2/case_CL120_EHR_010.json,75,14,14,6,16,13,14,True,2.3333333333333335,1,14,15,0,3,,,,closed,terminal_safe_episode_closed,True,False,False,5.0,4,4,1.7320508075688772,True,True,False,1,27,4,7,high
