case_id,disease_domain,target_problem,starting_phase,friction_intensity,primary_friction,secondary_frictions,tool_dependency,expected_turn_budget_category,high_order_capability_domains,high_order_test_point_count,responsibility_chain_requirement_count,expected_evidence_channel_count,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level
case_CL120_EHR_001,cardiovascular,chest_pain_acs_dissection,longitudinal_followup,light,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_002,cardiovascular,heart_failure_decompensation,longitudinal_followup,light,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate
case_CL120_EHR_003,cardiovascular,atrial_fibrillation_anticoagulation,discharge_transition,light,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,yes,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate
case_CL120_EHR_004,dermatology_ent_ophthalmology,cataract_postoperative_medication_and_followup,discharge_transition,light,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,4,7,7,maybe,True,3,5,5,1,moderate,2,high,0,low,1,moderate,2,high,6,moderate
case_CL120_EHR_005,cardiovascular,syncope,pre_handoff,light,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,short,HO1 | HO2 | HO3 | HO4,4,8,8,yes,False,3,5,5,2,high,2,high,0,low,0,low,1,moderate,5,moderate
case_CL120_EHR_006,cardiovascular,chest_pain_acs_dissection,pre_handoff,light,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,short,HO1 | HO2 | HO3 | HO4,4,7,7,yes,False,3,5,5,1,moderate,2,high,0,low,0,low,1,moderate,4,moderate
case_CL120_EHR_007,cardiovascular,heart_failure_decompensation,post_handoff,moderate,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,maybe,True,2,4,4,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_008,cardiovascular,atrial_fibrillation_anticoagulation,post_handoff,moderate,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,4,8,6,maybe,True,2,5,5,2,high,1,moderate,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_009,cardiovascular,hypertension_urgency,result_return,moderate,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_010,cardiovascular,syncope,result_return,moderate,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,7,yes,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_011,cardiovascular,chest_pain_acs_dissection,home_execution_failure,moderate,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,8,6,yes,False,2,4,5,2,high,1,moderate,1,moderate,1,moderate,0,low,5,moderate
